retrieved csv successfully!
Size of the data list: 125748
max_out_degree: 499
max_in_degree: 499
key: 10500, value_count: 1
key: 53106, value_count: 1
key: 8989, value_count: 1
key: 42627, value_count: 1
key: 45145, value_count: 1
key: 67649, value_count: 1
key: 77665, value_count: 1
key: 82276, value_count: 1
key: 89398, value_count: 1
key: 105618, value_count: 1
key: 15522, value_count: 1
key: 25746, value_count: 1
key: 109676, value_count: 1
key: 102727, value_count: 1
key: 36745, value_count: 1
key: 35208, value_count: 1
key: 51767, value_count: 1
key: 88323, value_count: 1
key: 123767, value_count: 1
key: 39066, value_count: 1
key: 103563, value_count: 1
key: 32025, value_count: 1
key: 120414, value_count: 1
key: 37421, value_count: 1
key: 39502, value_count: 1
key: 101100, value_count: 1
key: 44192, value_count: 1
key: 67806, value_count: 1
key: 107499, value_count: 1
key: 43181, value_count: 1
key: 15020, value_count: 1
key: 49697, value_count: 1
key: 65616, value_count: 1
key: 9724, value_count: 1
key: 60724, value_count: 1
key: 93988, value_count: 1
key: 61279, value_count: 1
key: 102806, value_count: 1
key: 93021, value_count: 1
key: 52013, value_count: 1
key: 101575, value_count: 1
key: 91515, value_count: 1
key: 57741, value_count: 1
key: 56131, value_count: 1
key: 103494, value_count: 1
key: 94487, value_count: 1
key: 119612, value_count: 1
key: 117260, value_count: 1
key: 26158, value_count: 1
key: 34752, value_count: 1
key: 49033, value_count: 1
key: 25234, value_count: 1
key: 33631, value_count: 1
key: 99830, value_count: 1
key: 27086, value_count: 1
key: 45601, value_count: 1
key: 104417, value_count: 1
key: 62879, value_count: 1
key: 13777, value_count: 1
key: 64414, value_count: 1
key: 38347, value_count: 1
key: 110216, value_count: 1
key: 26959, value_count: 1
key: 93404, value_count: 1
key: 37404, value_count: 1
key: 66468, value_count: 1
key: 43395, value_count: 1
key: 44862, value_count: 1
key: 14805, value_count: 1
key: 26063, value_count: 1
key: 84834, value_count: 1
key: 21285, value_count: 1
key: 55854, value_count: 1
key: 88260, value_count: 1
key: 93878, value_count: 1
key: 20458, value_count: 1
key: 107363, value_count: 1
key: 22259, value_count: 1
key: 73102, value_count: 1
key: 16274, value_count: 1
key: 48944, value_count: 1
key: 85823, value_count: 1
key: 42602, value_count: 1
key: 11447, value_count: 1
key: 70931, value_count: 1
key: 558, value_count: 1
key: 24067, value_count: 1
key: 120339, value_count: 1
key: 114231, value_count: 1
key: 102335, value_count: 1
key: 32734, value_count: 1
key: 85062, value_count: 1
key: 122765, value_count: 1
key: 96684, value_count: 1
key: 77717, value_count: 1
key: 36892, value_count: 1
key: 110940, value_count: 1
key: 82788, value_count: 1
key: 21364, value_count: 1
key: 47780, value_count: 1
key: 53266, value_count: 1
key: 33765, value_count: 1
key: 81567, value_count: 1
key: 19658, value_count: 1
key: 43866, value_count: 1
key: 81765, value_count: 1
key: 97769, value_count: 1
key: 124518, value_count: 1
key: 51132, value_count: 1
key: 9979, value_count: 1
key: 100850, value_count: 1
key: 59493, value_count: 1
key: 76060, value_count: 1
key: 113898, value_count: 1
key: 108117, value_count: 1
key: 91858, value_count: 1
key: 19291, value_count: 1
key: 48441, value_count: 1
key: 45086, value_count: 1
key: 41230, value_count: 1
key: 80400, value_count: 1
key: 98714, value_count: 1
key: 18451, value_count: 1
key: 10850, value_count: 1
key: 84664, value_count: 1
key: 90981, value_count: 1
key: 19178, value_count: 1
key: 15243, value_count: 1
key: 75721, value_count: 1
key: 114086, value_count: 1
key: 101584, value_count: 1
key: 38291, value_count: 1
key: 61915, value_count: 1
key: 89276, value_count: 1
key: 105776, value_count: 1
key: 22796, value_count: 1
key: 32669, value_count: 1
key: 41235, value_count: 1
key: 112904, value_count: 1
key: 87665, value_count: 1
key: 98092, value_count: 1
key: 4570, value_count: 1
key: 73062, value_count: 1
key: 59688, value_count: 1
key: 36821, value_count: 1
key: 87781, value_count: 1
key: 91996, value_count: 1
key: 47656, value_count: 1
key: 118009, value_count: 1
key: 59740, value_count: 1
key: 65767, value_count: 1
key: 113192, value_count: 1
key: 11450, value_count: 1
key: 30258, value_count: 1
key: 40404, value_count: 1
key: 118325, value_count: 1
key: 111659, value_count: 1
key: 77358, value_count: 1
key: 87820, value_count: 1
key: 107323, value_count: 1
key: 29760, value_count: 1
key: 36850, value_count: 1
key: 36445, value_count: 1
key: 41611, value_count: 1
key: 80877, value_count: 1
key: 72290, value_count: 1
key: 48894, value_count: 1
key: 40183, value_count: 1
key: 123891, value_count: 1
key: 2805, value_count: 1
key: 54006, value_count: 1
key: 45107, value_count: 1
key: 96984, value_count: 1
key: 110658, value_count: 1
key: 24276, value_count: 1
key: 95447, value_count: 1
key: 113869, value_count: 1
key: 52134, value_count: 1
key: 10611, value_count: 1
key: 63381, value_count: 1
key: 52390, value_count: 1
key: 60859, value_count: 1
key: 12622, value_count: 1
key: 63898, value_count: 1
key: 79411, value_count: 1
key: 98895, value_count: 1
key: 21583, value_count: 1
key: 44723, value_count: 1
key: 33898, value_count: 1
key: 109278, value_count: 1
key: 28063, value_count: 1
key: 101063, value_count: 1
key: 77072, value_count: 1
key: 59757, value_count: 1
key: 100088, value_count: 1
key: 67457, value_count: 1
key: 28699, value_count: 1
key: 74440, value_count: 1
key: 3230, value_count: 1
key: 37747, value_count: 1
key: 66956, value_count: 1
key: 35645, value_count: 1
key: 117343, value_count: 1
key: 96068, value_count: 1
key: 24432, value_count: 1
key: 32279, value_count: 1
key: 117930, value_count: 1
key: 120075, value_count: 1
key: 4496, value_count: 1
key: 116113, value_count: 1
key: 50085, value_count: 1
key: 122260, value_count: 1
key: 7236, value_count: 1
key: 72595, value_count: 1
key: 14527, value_count: 1
key: 103761, value_count: 1
key: 105401, value_count: 1
key: 41923, value_count: 1
key: 121896, value_count: 1
key: 50504, value_count: 1
key: 117894, value_count: 1
key: 117680, value_count: 1
key: 11251, value_count: 1
key: 103622, value_count: 1
key: 110996, value_count: 1
key: 1865, value_count: 1
key: 114868, value_count: 1
key: 29882, value_count: 1
key: 4854, value_count: 1
key: 14796, value_count: 1
key: 48680, value_count: 1
key: 52254, value_count: 1
key: 56087, value_count: 1
key: 99055, value_count: 1
key: 29226, value_count: 1
key: 63308, value_count: 1
key: 19975, value_count: 1
key: 90485, value_count: 1
key: 32395, value_count: 1
key: 31482, value_count: 1
key: 86959, value_count: 1
key: 73185, value_count: 1
key: 66255, value_count: 1
key: 105137, value_count: 1
key: 19406, value_count: 1
key: 83339, value_count: 1
key: 27328, value_count: 1
key: 67309, value_count: 1
key: 114700, value_count: 1
key: 5270, value_count: 1
key: 46519, value_count: 1
key: 106701, value_count: 1
key: 29094, value_count: 1
key: 35363, value_count: 1
key: 59518, value_count: 1
key: 12641, value_count: 1
key: 47411, value_count: 1
key: 107100, value_count: 1
key: 117605, value_count: 1
key: 41955, value_count: 1
key: 33426, value_count: 1
key: 72366, value_count: 1
key: 29070, value_count: 1
key: 119360, value_count: 1
key: 47573, value_count: 1
key: 83322, value_count: 1
key: 83445, value_count: 1
key: 89985, value_count: 1
key: 106414, value_count: 1
key: 13766, value_count: 1
key: 10097, value_count: 1
key: 73998, value_count: 1
key: 80753, value_count: 1
key: 20666, value_count: 1
key: 5106, value_count: 1
key: 7339, value_count: 1
key: 42457, value_count: 1
key: 92668, value_count: 1
key: 123538, value_count: 1
key: 74127, value_count: 1
key: 38992, value_count: 1
key: 44665, value_count: 1
key: 101430, value_count: 1
key: 114698, value_count: 1
key: 49713, value_count: 1
key: 72935, value_count: 1
key: 99388, value_count: 1
key: 19094, value_count: 1
key: 111338, value_count: 1
key: 15769, value_count: 1
key: 61114, value_count: 1
key: 13545, value_count: 1
key: 76080, value_count: 1
key: 98716, value_count: 1
key: 85971, value_count: 1
key: 70817, value_count: 1
key: 101273, value_count: 1
key: 83477, value_count: 1
key: 10294, value_count: 1
key: 65018, value_count: 1
key: 121177, value_count: 1
key: 108439, value_count: 1
key: 34281, value_count: 1
key: 73714, value_count: 1
key: 12167, value_count: 1
key: 60320, value_count: 1
key: 9464, value_count: 1
key: 98848, value_count: 1
key: 111292, value_count: 1
key: 77933, value_count: 1
key: 84864, value_count: 1
key: 19405, value_count: 1
key: 36187, value_count: 1
key: 88661, value_count: 1
key: 94129, value_count: 1
key: 118697, value_count: 1
key: 12042, value_count: 1
key: 106779, value_count: 1
key: 30935, value_count: 1
key: 78440, value_count: 1
key: 96013, value_count: 1
key: 27620, value_count: 1
key: 5155, value_count: 1
key: 64924, value_count: 1
key: 11003, value_count: 1
key: 112120, value_count: 1
key: 121533, value_count: 1
key: 58225, value_count: 1
key: 81518, value_count: 1
